,nmscale,darkline,baseline,p1
577,723.2953187999999,3925.0,0.0,3905
578,723.2382595,3920.0,0.0,3904
579,723.1810739,3922.0,0.0,3904
580,723.1237623,3925.0,0.0,3902
581,723.0663248,3924.0,0.0,3904
582,723.0087614,3925.0,0.0,3903
583,722.9510723999999,3926.0,0.0,3902
584,722.8932579,3924.0,0.0,3902
585,722.8353179999999,3922.0,0.0,3902
586,722.7772527000001,3926.0,0.0,3900
587,722.7190624,3924.0,0.0,3900
588,722.660747,3925.0,0.0,3902
589,722.6023067000001,3924.0,0.0,3899
590,722.5437417,3926.0,0.0,3897
591,722.485052,3924.0,0.0,3895
592,722.4262378,3926.0,0.0,3898
593,722.3672993,3923.0,0.0,3900
594,722.3082365,3920.0,0.0,3900
595,722.2490497,3925.0,0.0,3898
596,722.1897388,3922.0,0.0,3898
597,722.1303041,3926.0,0.0,3895
598,722.0707457000001,3924.0,0.0,3894
599,722.0110637,3926.0,0.0,3897
600,721.9512582,3922.0,0.0,3895
601,721.8913294,3922.0,0.0,3894
602,721.8312774,3923.0,0.0,3894
603,721.7711022999999,3923.0,0.0,3893
604,721.7108042,3925.0,0.0,3891
605,721.6503834,3922.0,0.0,3894
606,721.5898397999999,3924.0,0.0,3890
607,721.5291737000001,3925.0,0.0,3888
608,721.4683852000001,3921.0,0.0,3894
609,721.4074744,3923.0,0.0,3890
610,721.3464412999999,3924.0,0.0,3891
611,721.2852862999999,3924.0,0.0,3892
612,721.2240092999999,3921.0,0.0,3890
613,721.1626105,3925.0,0.0,3888
614,721.1010901000001,3921.0,0.0,3888
615,721.0394482,3924.0,0.0,3888
616,720.9776847999999,3922.0,0.0,3891
617,720.9158001000001,3923.0,0.0,3888
618,720.8537944,3922.0,0.0,3882
619,720.7916675,3924.0,0.0,3888
620,720.7294198,3922.0,0.0,3884
621,720.6670514,3925.0,0.0,3880
622,720.6045623,3925.0,0.0,3882
623,720.5419526000001,3922.0,0.0,3884
624,720.4792226,3922.0,0.0,3880
625,720.4163724,3924.0,0.0,3878
626,720.353402,3922.0,0.0,3879
627,720.2903116,3922.0,0.0,3878
628,720.2271013,3924.0,0.0,3880
629,720.1637713,3927.0,0.0,3878
630,720.1003217,3925.0,0.0,3876
631,720.0367526,3925.0,0.0,3874
632,719.9730641,3924.0,0.0,3876
633,719.9092563999999,3924.0,0.0,3868
634,719.8453296,3923.0,0.0,3866
635,719.7812837,3926.0,0.0,3868
636,719.7171191000001,3922.0,0.0,3870
637,719.6528357000001,3924.0,0.0,3864
638,719.5884336,3924.0,0.0,3865
639,719.5239132,3923.0,0.0,3870
640,719.4592743,3924.0,0.0,3865
641,719.3945172,3920.0,0.0,3858
642,719.3296421,3924.0,0.0,3860
643,719.2646489,3926.0,0.0,3860
644,719.199538,3922.0,0.0,3856
645,719.1343092,3922.0,0.0,3856
646,719.0689629,3922.0,0.0,3856
647,719.0034992000001,3922.0,102.0,3852
648,718.9379180999999,3922.0,102.0,3851
649,718.8722197000001,3926.0,110.0,3847
650,718.8064042999999,3922.0,109.0,3847
651,718.7404719,3922.0,117.0,3843
652,718.6744227,3922.0,115.0,3842
653,718.6082568,3927.0,123.0,3840
654,718.5419742,3924.0,120.0,3833
655,718.4755752,3923.0,121.0,3834
656,718.4090599,3922.0,125.0,3830
657,718.3424282999999,3924.0,129.0,3829
658,718.2756807,3922.0,130.0,3826
659,718.2088171,3924.0,138.0,3824
660,718.1418377,3924.0,136.0,3819
661,718.0747425,3923.0,141.0,3819
662,718.0075318,3927.0,148.0,3819
663,717.9402056,3927.0,151.0,3813
664,717.8727640999999,3922.0,154.0,3816
665,717.8052073,3922.0,160.0,3808
666,717.7375355,3925.0,158.0,3808
667,717.6697487,3924.0,168.0,3804
668,717.601847,3925.0,169.0,3802
669,717.5338307,3923.0,171.0,3794
670,717.4656997000001,3923.0,176.0,3800
671,717.3974542999999,3924.0,182.0,3793
672,717.3290945,3920.0,180.0,3788
673,717.2606206,3923.0,187.0,3788
674,717.1920325,3920.0,192.0,3779
675,717.1233304,3924.0,196.0,3778
676,717.0545146000001,3924.0,204.0,3773
